iter	Passed	Remaining
816	4668	1045
817	4673	1039
818	4679	1034
819	4686	1028
820	4693	1023
821	4699	1017
822	4705	1012
823	4712	1006
824	4718	1000
825	4724	995
826	4731	989
827	4737	984
828	4744	978
829	4750	973
830	4756	967
831	4763	961
832	4769	956
833	4775	950
834	4781	944
835	4789	939
836	4795	933
837	4801	928
838	4808	922
839	4814	917
840	4821	911
841	4827	905
842	4834	900
843	4840	894
844	4847	889
845	4851	883
846	4857	877
847	4863	871
848	4869	866
849	4875	860
850	4883	854
851	4889	849
852	4896	843
853	4902	838
854	4908	832
855	4915	826
856	4920	821
857	4926	815
858	4931	809
859	4938	803
860	4945	798
861	4951	792
862	4958	787
863	4964	781
864	4970	775
865	4976	770
866	4983	764
867	4989	758
868	4994	752
869	5000	747
870	5006	741
871	5013	735
872	5019	730
873	5025	724
874	5031	718
875	5037	713
876	5043	707
877	5050	701
878	5056	696
879	5062	690
880	5068	684
881	5074	678
882	5081	673
883	5087	667
884	5093	661
885	5100	656
886	5106	650
887	5112	644
888	5118	639
889	5124	633
890	5130	627
891	5136	621
892	5142	616
893	5148	610
894	5154	604
895	5160	598
896	5165	593
897	5170	587
898	5177	581
899	5184	576
900	5190	570
901	5196	564
902	5202	558
903	5207	553
904	5213	547
905	5219	541
906	5224	535
907	5230	529
908	5236	524
909	5242	518
910	5249	512
911	5255	507
912	5260	501
913	5267	495
914	5273	489
915	5279	484
916	5286	478
917	5292	472
918	5299	467
919	5305	461
920	5312	455
921	5318	449
922	5324	444
923	5330	438
924	5335	432
925	5341	426
926	5347	421
927	5353	415
928	5359	409
929	5365	403
930	5370	398
931	5377	392
932	5384	386
933	5389	380
934	5394	375
935	5401	369
936	5407	363
937	5413	357
938	5420	352
939	5426	346
940	5433	340
941	5439	334
942	5445	329
943	5451	323
944	5456	317
945	5462	311
946	5468	306
947	5474	300
948	5480	294
949	5486	288
950	5492	282
951	5497	277
952	5503	271
953	5509	265
954	5515	259
955	5521	254
956	5527	248
957	5533	242
958	5538	236
959	5545	231
960	5550	225
961	5557	219
962	5563	213
963	5569	207
964	5575	202
965	5582	196
966	5588	190
967	5594	184
968	5600	179
969	5606	173
970	5612	167
971	5618	161
972	5624	156
973	5630	150
974	5636	144
975	5641	138
976	5647	132
977	5652	127
978	5659	121
979	5665	115
980	5672	109
981	5678	104
982	5684	98
983	5689	92
984	5695	86
985	5701	80
986	5707	75
987	5713	69
988	5719	63
989	5725	57
990	5730	52
991	5736	46
992	5742	40
993	5748	34
994	5754	28
995	5759	23
996	5766	17
997	5771	11
998	5777	5
999	5782	0
